video_id,video_comment,video_comment_final
-1rq4OYXEv4,1297,1
-54xAtkz1qQ,104,0
-7wytOCMaXM,8,0
-Go3o7Jf5R8,584,17
-H__d4SvibU,27,0
-KPvX0KbMT0,4226,0
-LIW-XpziEc,25,0
-M8zj0HpWqo,4410,2
-MqyhrKR1XU,254,0
-OpwhtYwY4o,539,0
-QFDHaue_Cc,92,1
-TZp0xMfTww,1060,0
-UY3m8TQjxU,49,0
-VvmyHV4PFU,90,0
-ZLqv4OAgOg,205,0
-__xXKyylrk,380,0
-a_vVFM0Bgk,160,0
-adUE-n_pXc,168,0
-bHg-QdNLvE,212,0
-bnzUIJyzfM,1033,2
-d3QrvYlJpo,114,6
-e7JrBSfjYY,605,0
-gkq_srdhZA,836,0
-hKJOeI4ibU,61,0
-hOr1jufCb0,532,0
-hz6dDUQlPk,1877,45
-ixTF6I8lNE,1351,0
-lHesyZaAp4,295,0
-lk5QDhFZ0E,322,0
-nAU3eSx_BM,4255,0
-qSguUkOjAk,948,0
-rES2ygxrvo,195,0
-rGoz96a7WY,2549,0
-w8Y-8xzBho,1063,0
-wPsLeEqIC8,267,0
-xlBbbqyADo,843,0
-yEBg6hYC64,39,0
-yaUiBlOYn0,1169,16
-zX74ebHPwE,34,0
0-FOFU90AbU,178,0
0-Y0vAuMGNg,63,0
0-ttgS7ijGc,1097,20
01hZ55-HcB0,423,18
01u5BzfkUAA,155,0
090jS4MrLRc,778,0
0B2hL87_CF8,380,0
0EdhyDbXP7o,176,1
0GRQIP2K_eo,346,14
0GYAfMFfl6k,1027,0
0HLVrF3ioeI,100,9
0LbE_TvbZi0,237,0
0MgqXK5RQFc,1234,0
0NvsmcEqHw8,47,0
0QqgUdno2v8,17535,1471
0TP7D114OVI,197,0
0UIk3mqYzIg,198,4
0YpQpVrq49A,157,0
0abYMJRItoM,292,1
0bOPB2A6mZ8,391,14
0kT5UhQkB_w,494,0
0nnbAo0ggmQ,931,0
0qV4mpc8QiA,4523,363
0s3iWq50UCk,83,0
0ttFOge_9oA,32,0
0xP7seMMTFo,16,0
0ynoFBUfai8,104,0
0z8flbkbZ7A,376,1
10H-9wr7GkY,2932,113
13DWvqQqzYw,147,1
17ARxH3uZgY,3955,0
1AwrtwRxvlw,1363,1
1DDLzJxodag,175,0
1E0a8wdOdiA,8,0
1EKqB9bYUq8,1701,2
1Fl-kO2PzRY,245,0
1Hlhi5fF0R0,65,0
1ODaSCWYxh8,1053,0
1Scncqm-aFI,98,0
1T9tLMh99Wo,54532,667
1UsamU3KVaI,771,0
1V98YBHCTRU,2058,0
1WRDt-oLo2k,172,0
1XPicMX6s5k,1762,0
1Y4qpHI3l3U,459,0
1aK4E6gE4TM,107,0
1b6DdPVI5iw,31,0
1dv54CJycgs,3717,6
1ghq6c3gM6c,68,0
1hCZ4r0Acjo,624,0
1ihstsssXqQ,2466,96
1kCxrJWcvcc,673,0
1n25hdAvY7k,29,1
1oNKV-63y6A,1940,1
1pmwjJ1h02Q,3167,1
1vIP_Kao-fo,429,0
1wqeccW5Yh8,211,16
1xRwTViv6b4,791,43
1yYd3D96xTA,277,4
1yfaxoHyFbI,301,9
22PZP1dedPE,20003,34
22tm2y1FoEw,1125,1
238Z4YaAr1g,42446,2167
24GfgNtnjXc,601,68
25FcPPToyRE,860,1
26jIxTEsYjQ,475,0
27G4btgJEWQ,365,9
27LkhaZ0otw,1704,0
27QdtQuVp7Y,481,0
29Wz7SpVHl0,3418,0
29l4rx7mUks,691,0
29oNb_Dh3is,369,0
2Adt6nK3-6w,1282,1
2CXk5TnGZnw,1302,1
2DghsdI0lwM,130,0
2E6GreKzm5E,340,28
2K1agz2C_9o,139,0
2Kh7M3rFRcc,8,0
2MAEMwqVYh8,319,0
2MatUGntHSE,413,0
2OoKZRKIV9Q,90,0
2SznaLQzXC4,3003,1
2_FZg51r94A,476,1
2aG1hroDx-k,261,0
2aua3byharo,242,2
2byAsju7UD0,1402,0
2gsx_ZpsfdA,9077,3
2jpRvazux-g,1841,11
2mV72J4BbV8,390,0
2nfSk_gGpgI,3559,0
2odR6lTfVzc,182,0
2owiZw6enWE,1846,4
2pLItnka43s,5074,7
2qCpY38ompo,25209,285
2qdCIJG8cYk,165,0
2u9r_YSqbOM,2316,1
2wgaBS9GAgo,2,0
2zXD9tz_uRY,463,0
2zzoyXmLQtU,1624,32
32Xc2WmMqP0,158,0
34uBOF2yclU,141,0
35cb4xHp7Mg,2409,86
39_-gWu987o,13,0
3DsjjQw_lmk,982,38
3Dy_P9OvwCs,125,0
3GmKhXZebKw,1009,71
3HOFVU792mc,489,0
3KgLqlrYjxw,1383,0
3LoNLu6zVPM,38,0
3Lwbw6LSyqM,438,0
3QrCFlq5AaQ,12267,402
3SHDylN1X8c,428,0
3SicOb2Bbhc,186,1
3VaLKBOACLg,51,0
3XBUDlUiVts,282,0
3XtNjthpkZs,1771,0
3ZAl_DBajqQ,123,0
3Zr0ZHTCnP0,152,0
3ZwI_9d3fJg,1752,118
3bmxhr0R-wI,221,0
3fGWkgcaDGs,141,1
3gRKBu6xIIA,131,0
3i6o2PoPNZ0,2062,0
3kVcX1-3z2Y,270,0
3llOu4uz9zw,489,0
3o2sG3GtPtw,113,0
3qC_SoqXScc,634,0
3tfI1Bs442E,29275,48
3uE9gAaMGuw,100,0
3vf0cmYhEVY,56,0
3vzMCVdv1IY,3548,0
3wBU1qRhoWs,866,0
3x_51DAdzlk,824,0
3zcor0QcHRQ,542,0
41EUilrmsk4,501,0
42n3NHU-qZk,1073,0
44ZwVWXyhOM,88,0
44vR52Zi1nE,833,1
45352pFQxmE,6184,1
49E9dS1Ygow,41,0
4CXB2xpV9HM,9345,0
4EEedk1SkDw,1971,0
4GUQAw0_pbA,204,24
4Itcn_CJjMo,328,0
4Kjpi-0sLQ4,102,0
4L4KKW4gq9Q,35,0
4OGGPx5jgg0,1109,80
4Pc1Rrnhces,247,0
4Qxy3AejpII,286,0
4T2cCd0mA-0,412,0
4WWXV3En5qs,433,0
4WuX70Xa8Vg,806,1
4X-olAF9cjg,572,52
4YOYpJj8Eb4,470,0
4Zr8Ijlvf3U,198,0
4cLRvWsPjP8,2214,0
4fcjpnWd8co,2820,260
4g14tYPwkfM,2350,0
4iSPg1_k_co,167,1
4lKT_dAv_MU,1057,0
4m1GCSlEfXg,11,0
4mLXAbXf_Oo,304,18
4rwH_PRlUtM,1672,21
4t6_U3bg618,385,0
4tw1MbD3CX0,1356,2
4u36EVMTtiI,1344,0
4xoN7JcIggE,431,0
5-YSDm-6MUk,29092,3
539VLXMEoKg,2499,63
59EbnjrTRGU,164,0
5Dss_CddGLY,353,0
5ElF1nqHuZ0,5664,0
5F5pBTkW2a4,269,2
5FvamZEkIRc,5724,1
5K-8ejZFpqs,403,9
5KAzbNzt7PI,97,0
5LXhsPX9_io,641,0
5Rq-Os8CkUY,545,0
5SgNQzhLMyE,501,0
5UkaMKGDwwk,2094,0
5XGwsCz62pc,123,0
5ZDI4K1lg2g,36,1
5_4QaEOkfkM,1358,56
5_8RCLkipbk,551,0
5f8ZYtaBRx0,450,0
5hIqXjAmo6k,891,51
5kB_mDc7Im8,900,38
5rLuJftmhro,2879,1
5rVH-na9lMw,772,1
5uD9hodBYdU,18,0
5yqlIgNx_uw,75,0
60RquhwJjDc,55,0
62iT888LUQk,402,0
67FVMNGMFXU,4462,416
67i6UhQ_jJI,1967,0
68-1VrRM4p8,2755,0
695ZYe00UFg,224,0
6AsCaSc27-Y,209,0
6CvrWCeWUXk,137,0
6GcHuH6TXmc,771,0
6GhxRWu1BfM,251,3
6H2Ri4vJZNE,495,0
6I5Xg7gz2CM,1440,0
6I80iiBSRCQ,1738,40
6NnwYnCU2dY,112,0
6PcFXzuCMy4,1966,0
6UxJmNfffHs,14926,0
6WBMROufN_k,95,0
6XQDNsIWE1U,448,0
6XRNmOcyjeE,3493,33
6XsjZiFthTM,121,0
6c5b4DvdHus,6015,1
6e_YrExMSgw,802,0
6fbfrV5qqnU,9338,666
6gGGkzgeLdA,1147,0
6hKvuxBAucg,753,0
6hcF0Ilkaxk,2638,212
6jdGh78qLTg,330,35
6lpPbUxcqjU,4621,209
6p2OcdkjX7o,1824,1
6p_acerDKKI,337,0
6vEHupXVHRA,989,0
6x28MzgP74Q,2826,63
6y7gQM4c4aE,367,0
6z-_fHzkPo8,118,1
6zRbD_vJpug,187,0
7-b6KrRhm40,196,0
74GsYZV8IR8,162,0
76hGBhzafNQ,740,2
78XN65bzyVM,22,1
7DBxBf1JZkM,1175,1
7EduOiG7iII,199,0
7GzbvK3vNUE,1116,0
7IGQILU__4g,185,0
7NAa1EDoqHU,175,0
7Ody9AGVuQ8,1736,108
7Poj6K9R0qs,54,0
7R3hj9F6SJg,2375,19
7RNH4tJjmSQ,201,0
7RpoWDeEX8U,508,0
7S7XfRajh9Y,1509,120
7W6PraARYHo,23,0
7WKfy0CQhkc,103,1
7XYWoq40fLE,2194,0
7Xb3mxXhzLA,347,0
7Z4FqfnPhTI,852,0
7Zm-4gbwIx8,347,7
7_HLva4_CoE,200,0
7_I-bSwBtL4,1301,29
7anmIIwg0gI,646,2
7blMLmjNBak,250,0
7eAoKjAdiH0,144,1
7ft3RIaAh3c,1414,0
7jLXhA7wQv8,255,0
7kLHgnuYx-g,525,11
7mq-p98IIhw,682,84
7rbkHEO9JW8,202,0
7sI5XG8wjIs,33,0
7vVYpONbdO8,1661,121
7yBsu2uiuu4,215,0
80DaR2CVNNk,93805,4538
83LYnrz6_0A,6807,1
83Rjg2hMVLE,177,0
84HfQVPSaYo,642,0
85O1-H6K6iM,4,0
86JxfmQryZQ,1951,0
87ywggOkdSI,331,7
88Ryy76kmxk,362,0
89q--U0RfAE,559,0
8DbSuYdwaaY,179,0
8F1RgrdGWb4,70,0
8GM_0qtNBNU,1,0
8ICBuCtcOqo,2462,1
8KuiHztCXE0,277,5
8LrOQFE_vgo,6071,1
8NNvoBOikV0,110,8
8OftsNX_uVY,33,1
8PVyQF_phPo,63,0
8QZJ1Th5J-A,221,1
8R1X_uxF8nc,38,0
8S4X83fGd4I,264,0
8Sw27lU3fA4,143,0
8VJ0MkBu_m8,2057,6
8XAeLiSARNU,179,0
8XXk11QIsVo,3265,2
8Xo1V8CIMSk,78,0
8Y72tVwihh8,200,0
8aR2Ct-0y8M,123,0
8bnIWIHlOmQ,185,0
8dwocAz1A7M,1677,171
8fDIKikk2bI,3630,18
8itdlN1g3NQ,421,0
8mM46SdeyD0,780,0
8pq0U380KuY,240,0
8ttAmz0iBWk,468,0
90jiws2YFrM,2530,0
94wAnJdRxdw,210,0
96OeKkvoEHs,26,0
995L4SOJ8D0,2,0
9A0uB4xui6g,287,0
9CBdBLkKETA,167,1
9CLWYPd1aA0,9272,3
9E9o2ceDeWw,6209,0
9EjlT16bX2A,520,0
9Fv9-R7JEI8,33,0
9Icp0XCzi0Y,1004,0
9JVh2ZCsPNA,10291,0
9MD6-ReS_VU,198,0
9MeAP4adUPE,43,0
9Q6cXyjemqA,5562,0
9QAI2YHWSZ4,1188,1
9QQTQuBtxKg,1542,136
9QmHur07r30,158,0
9REgV6_QrAI,224,6
9S4eApyo_zs,886,1
9UO7xeWUOCA,4276,2
9VnufzO0IZc,314,0
9W5PHg447Xg,845,1
9ZieX7ROT7E,476,0
9fAZfGLGR60,542,0
9fNUJFh49Do,2508,3
9fybsqArlng,647,6
9gt-EyGyamc,138,0
9nkAI_fd-us,362,0
9o1ea3O_GTs,2181,0
9ptngRAi39w,35,0
9q8dyxwkATk,7314,188
9s2hpbim6V8,1193,15
9snyknwSrJM,229,0
9tP5WUiJJAA,253,0
9vmyasmeXgQ,193,0
9y-XUCpFqGc,84,0
9ynWB2NzFv0,152,0
9yr0a8zJY_o,64,0
9zKZDDzuDQE,648,0
A3OzMrXOs7A,10,0
A3T4SYm37GI,1099,1
A4gFBpURj1Y,3746,149
A6phHe1uTJ4,595,0
AEfFh0SVxiI,1471,1
AFH-aqKptSU,2274,0
AFOFe_QJ4IA,214,0
AG-Ozz0pqq0,448,0
AGnWzUU_FRU,5926,2
AHu2nBZEUPQ,2829,0
AIznSWFO1og,901,0
AK3zEGUItJo,2088,73
ANLSr4Et3K8,31,0
AP6y_K_Q55I,861,0
APnLyrN6_Zk,845,0
APrLuGHV8kU,8384,644
AQ0qN5mI60E,312,0
ARRUyyQahRw,1086,59
AVwZsRS5KLg,9174,1
AX5yxShC5qY,529,1
AXA8jTk1tFc,15614,7
AYR_xAVtWiw,770,0
A_XbLcuCJ0Q,507,0
A_zeFejlG6M,20,0
AbC8_0FSEC4,423,0
AcVueQZTWOs,2418,21
AcvD8zFZodc,983,4
AcvZjCQDUMo,1320,0
AgZZbbal0qI,67,0
Ahs_5-cFVOM,624,0
AknzHoPD1Fc,200,0
AlN0lc9k0dw,2009,19
AmWQhTHQh_Q,926,0
AobVGMqDOvY,890,0
AocL7vWRDQ8,1479,52
ArSgGY8yauo,541,0
AtCtF8Z4JU8,1760,161
AtKdV0LoHr8,3359,2
At_tVGKRH6g,862,0
AuLFrFuNGNc,2540,0
AxUJr0ddQZI,2043,156
Axqjcl7zv70,3,0
Ay4hCFxeCKM,1700,186
AyJcX7ecMlw,270,1
AyXilgVzfH0,69,0
AzJ4BgxYekM,346,0
BC77H9jZZiw,797,0
BC77WPhljb4,223,0
BCQYxoEdmdI,1463,41
BDujwnZZBxc,3109,21
BE0dihDdvdk,1344,110
BF9eDj0FlLU,119,0
BIC6kxedVKk,28,0
BIIRgvpZb8s,2580,0
BJAAGFj7kFg,148,0
BK-CD70oG7Y,5394,216
BLWlKdVJhmo,684,35
BPLKNn_fjds,68,0
BQBvPypinoU,944,106
BV8CQmjr-ag,751,0
BWHEx19k63M,368,22
BWPzmgmg-is,202,1
BWoL3CHz-Hs,961,0
BZ6mmUijhCE,3407,221
BZkH5G2UJ0I,811,57
B__PTWZ90wE,5691,1
B_tba0AV6pk,4179,0
BbNbyLK6Gsc,5541,0
BbQBw-8v-i4,1295,58
BdpP9WJkv1I,2550,0
BgOlFOVDg_c,13,0
Bh74hBCG98o,377,0
BhJ9UDxI6kI,1384,0
BkdG0UGaI78,150,0
BkeHIe2kSyY,794,0
BmUcTyocGCk,69,0
Bs5H-hSw7Ro,2832,405
Btx-yPPbB4Q,267,0
C-uqntAqre4,186,4
C1e2dY1ia10,612,1
C2KKzYoP240,1725,5
C3FGGUh4gVM,15,0
C4MKcyA3_yo,70,0
C6AiozS6j7U,1348,18
C6TCjmBMIz0,751,0
C6kAyG2w3X0,140,0
CCZuLYzlZWA,4499,196
CDVzgBKeb38,417,24
CELK86ILNaU,4612,0
CIuGBF6fKwI,167,0
CMAd8QrSBrc,137,1
CWw2KH-D6Cs,40,0
CWy5zysV__c,876,0
CX5IAlu8DnI,346,0
CYz56SfpDpY,72,0
C_VlPQtKAuI,638,0
Cae2haI-zmY,1278,137
Ce7EQ3RJmAg,514,1
CjUWQh8AXak,65,0
CkLy6Gkzhvw,388,0
CmuO3I42wTY,113,0
CncwRAZvc-M,588,0
CuEnWT5Dqoc,10491,2
CwXpC-RzWV8,22,0
Cyn3zbfVKuY,97,0
D1nQF9-tOYo,27,0
D6VhB4Wj3lA,252,1
DAMAuOvWsyo,2951,1
DBq0SOgNw2E,49,0
DChrGZaD_3Y,271,0
DCmmnEL1_3Y,24,0
DDXwc0XIhoE,532,0
DGZGanNZyyY,128,0
DH67Gp1DVXI,2332,78
DMhbt60bYlI,1076,118
DNOxbhzGSjE,1157,0
DS1k1psCnbM,73,1
DSyRbDXlX6M,85,0
DT5Qm4sMPb8,1208,0
DTK7bzl5-qg,594,11
DUTw0swj13A,4243,57
DU_p_o0V_R0,174,0
DVbKmQ7Hmlk,103345,268
DXavObYFDsU,384,0
DZ4kLiOpF-U,711,0
DZVKWN2IaP0,122,0
DaYyn14MNJ0,474,0
DcbCGk_t8CY,54,1
Dcg_UuIdLHo,2,0
Dd9QTquqjM8,82,0
DeTTb0JuVxg,1118,0
DeuclmBzY4Y,77,0
Dk0-yqfl3rU,500,12
DrEsdlfi0mw,617,0
DtGnZyekixQ,735,0
DvqFdZSDsiA,1974,0
DxnRvrvSsHI,900,0
DyrKEdOT8Sk,2227,0
Dz4VkHA3AJ8,705,6
E-NVpJTTfP8,10411,1
E342vubUs5g,294,0
E4NCbzR-aBU,55,0
E5dfjAlxaxY,605,0
E6WDlZV7vFA,1753,0
E7FpYuKjYIQ,142,0
E86OMSHHu8c,7122,336
EA_rUK7utAc,8484,0
EBtjotQbwjg,469,0
ED544Luc71o,520,6
EFPyw6d3ygA,367,3
EG4xBFsoiMY,148,0
EGOtvKoqG4I,450,0
EIctJfDxHus,1467,79
EKOHq_nTcLE,436,0
ELJIbm95p_c,1940,2
EOJYrEiGWVk,22,1
EOV69Gwbbos,84,0
EPpQtg9kyHc,724,0
ERk0dnWxB14,118,0
ESvTX489JuY,1640,1
ETSTNH90t0c,70,1
EVu4_yFw6yo,225,2
EWm5EocPReM,569,0
EXOCgSJYyyQ,131,0
EXcprHxo53g,6165,1
Eb692wwOhI4,698,0
Eg9_Q1FHFuc,129,3
EkV3uq2kGL4,218,2
Ep-rXmZNcEE,12,0
Esf6NVGUaIE,47,0
EsuN33cmDjg,533,0
EuCzRi4HUBU,88,0
EuWqzDD2WNE,265,1
Ezzfc83C6YE,865,0
F-sXsYNQYbs,6061,2
F0ElmqLrePM,2596,0
F1gGsoSj5sI,6321,2
F2JDglXgtK8,1206,0
F5HhTD3b46A,2485,0
F7N5nzowhGU,6429,0
FA12a4UKbx4,515,0
FCx4RQ1gthY,167,0
FHj1eu2gkUg,51,0
FIXQiHtDfGg,161,0
FLRI8G39sLU,299,5
FNmtbOo_PQQ,57,0
FO1nyGz4r_4,305,0
FQN9Ibjh8LA,1916,144
FTvPxO1Hfuo,1131,1
FUu9NHlKaxY,608,30
FVovgX73zCY,70,0
FZnACwukAeI,582,44
F_31H_o8nss,491,0
F_La9J5Lv2U,2355,0
FbRRdCU-Lw4,405,0
FbqMH05ZiRM,317,0
FcMF02oc-Cw,1473,2
FcdFASrJxug,5,0
FiDU3CUyqT4,2022,0
FkwMiqm6um0,46,0
Fld_whm4TZs,5760,0
FmMmHqDdzdw,1281,69
FoIlgpP0sSE,612,0
FoVud3zWeDk,616,0
FpYPmkfynIo,1028,0
FrcXox0sj2A,726,82
Fsa3FNYhHMU,11,0
Fti19Zk7xho,4,0
FyXXY8byfec,3326,7
G-S-mjXKkCc,39,0
G01D3sv8qXU,997,0
G48bCFHbc58,10800,1
G4mwgg3veu8,1645,0
G5kHmGCftjo,37,0
G9l5AO1D4To,12899,0
GCTSrtF_3g0,79,0
GCi27WGhdgM,79,1
GDw9_kIEDaY,1798,24
GGNHP1-yv4Q,534,20
GII0hr8fyZY,246,6
GIX_NtjdYaM,3,0
GIo5NUQrp4o,14138,609
GL5XWUpYnEs,123,0
GOZIUHi_YNQ,15057,786
GPB1-DT3b0Q,364,24
GPSvy64fdzU,458,0
GSjxR-PP594,237,0
GTxkmTipXLc,117,0
GUhLwYbN1ZA,733,3
GWgiA1PFnDM,83,4
GZaaUiqSkwI,2065,0
G_li-ZsZ-Dk,395,24
GdW2bKNNl1c,105,2
GfBzPjQu-MI,105,0
GfmrRqkLvEA,396,0
GhPpVxfh65o,1479,0
GhkNVuet9UE,100,0
Ghq2m-C_bqM,145,0
GkB3IxcZFKA,2705,1
GkbZSb7HLGo,710,1
GoJziuipjAU,62,0
GqmQ7_ynreI,229,0
Gsp7pFZcTxw,33,0
GvfuQdlEDHs,251,0
GxcF0hv4nCI,2245,16
H7oUO-My1vg,11957,27
H7y3wjhoAlM,101,0
H9a3ix08uYA,582,6
HASdrvZYSwI,606,0
HD8OJ_uUPrA,513,0
HEpzPHkq1o0,62,0
HGLLkwiblag,1755,4
HGghB1kvRUk,1683,0
HHAFZH7Bn-U,120,0
HRZ3ntVGMsY,506,1
HRhBqZLaF0s,53,0
HThlG14AKns,492,0
HU-IFmXqoUo,1240,0
HU4O9HOfZYc,2637,110
HVjt-L0CbOU,208,0
HXNbegvRNvg,12078,354
HarTn81wQNg,435,0
Hj_paijhdUQ,100,0
HjjN6_ZEm6I,657,0
HnZn8muOnZw,2953,3
HoujXZPtMx0,4,0
HqeRgPQkkZQ,184,1
HrBxgqNfxnI,2416,0
HsIqUcZkc4k,931,0
Ht9yXuDvA1M,474,0
Htp9Elx6mBo,251,15
Htv3-nfz78U,1112,1
Hxvn7HmUJm0,173,0
Hy08nQ7tGqQ,11,0
HyQni0QOISM,124,0
I1QgOOM_vs0,2331,0
I4r0r9_twIo,1532,73
I5OiZDMQpDg,540,0
I6S6KLwlED8,44,0
I6mcMPoOvo8,560,0
I8_W9Lz0VcM,359,2
I9GJve3M164,3026,0
IFQ6vxYNAKQ,5,0
ILguTznukyE,847,0
INnwBYIfODE,1160,1
IO5VdhlNfrI,653,0
IPoX9QcIBcI,11247,320
IR7BIGeqHaI,3350,28
ISvn0UD987M,1121,0
IVHJxNAPc3Y,2116,0
IY7V8fEYFP0,3560,7
IYJhF9coLX4,79,0
I_GZQtVwR1A,343,0
IdRhqSiHNDg,10,0
IerkherNYyI,7723,256
IewhVY9cAmQ,3,0
If77QwcUkNE,15,0
IgVPx5__VtU,14,0
IgZQKPyfADk,3514,2
IifhZbUqyPM,138,1
IpT7J2DdTK0,238,1
IqgGNvstkEo,1079,0
IzN5bjH4uIc,4056,86
IzoegpP0PSw,1046,0
J0uygT_rd2I,81,0
J1t25cgk3No,477,11
J3VcZ3nsQDw,27,0
J4aRcs66Nlo,10801,1147
J4wNwyzbbW8,67,0
J5Efezauri4,329,0
J5I00p3KqvE,5468,232
J6hBgqRbTc4,60,0
J7baXzIVmyc,318,0
